"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 04 10:32:49 GMT 2023","Tue Apr 04 10:32:52 GMT 2023","2698","tests","test_contact_us","TestContactUsForm","","","test_contact_us","
        Test to verify Contact Us Form.
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Apr 04 10:34:18 GMT 2023","Tue Apr 04 10:34:22 GMT 2023","4594","tests","test_register_user","TestRegisterUser","","","test_register_new_user","
        Test to verify registration through the Home page.
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Apr 04 10:32:58 GMT 2023","Tue Apr 04 10:33:03 GMT 2023","5692","tests","test_download_invoice_after_purchase_order","TestDownloadInvoiceAfterPurchaseOrder","","","test_download_invoice_after_purchase_order[chromium]","
        Test to Download Invoice after purchase order.
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Apr 04 10:34:59 GMT 2023","Tue Apr 04 10:35:00 GMT 2023","1517","tests","test_view_and_cart_brand_products","TestViewAndCartBrandProducts","","","test_view_and_cart_brand_products","
        Test to verify View & Cart Brand Products.
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Apr 04 10:33:07 GMT 2023","Tue Apr 04 10:33:11 GMT 2023","3361","tests","test_loging_user_with_valid_data","TestLoginUserWithValidData","","","test_login_user_with_valid_data[chromium]","
        Test to verify user is logging in platform with valid data.
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Apr 04 10:34:54 GMT 2023","Tue Apr 04 10:34:55 GMT 2023","714","tests","test_verify_test_cases_page","TestVerifyTestCasesPage","","","test_verify_test_cases_page","
        Test to verify user is navigated to test cases page successfully.
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Apr 04 10:34:04 GMT 2023","Tue Apr 04 10:34:09 GMT 2023","4757","tests","test_verify_address_details_in_checkout_page","TestVerifyAddressDetailsInCheckout","","","test_verify_address_details_in_checkout_page[chromium]","
        Test to Verify address details in checkout page.
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Apr 04 10:34:10 GMT 2023","Tue Apr 04 10:34:11 GMT 2023","835","tests","test_loging_user_with_invalid_data","TestLoginUserWithInvalidData","","","test_login_user_with_invalid_data","
        Test to verify user is logging in platform with invalid data.
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Apr 04 10:34:32 GMT 2023","Tue Apr 04 10:34:33 GMT 2023","1120","tests","test_search_product","TestSearchProduct","","","test_search_product","
        Test to verify search product.
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Apr 04 10:32:43 GMT 2023","Tue Apr 04 10:32:44 GMT 2023","1107","tests","test_add_review_on_product","TestAddReviewOnProduct","","","test_add_review_on_product","
        Test to verify Add review on product.
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Apr 04 10:34:35 GMT 2023","Tue Apr 04 10:34:38 GMT 2023","3100","tests","test_subscription_in_home_page","TestSubscriptionInHomePage","","","test_subscription_home_page","
        Test to verify Subscription in home page.
        :param test_setup: setting up the browser and page objects
        :return: None
        "
"passed","Tue Apr 04 10:33:34 GMT 2023","Tue Apr 04 10:33:39 GMT 2023","4705","tests","test_place_order_register_before_checkout","TestPlaceOrderRegisterBeforeCheckout","","","test_place_order_register_before_checkout[chromium]","
        Test to verify Register before Checkout.
        :param test_setup: setting up the browser and page objects
        :return: None
        "
